Species name,Family,Major group
Rosa hezhangensis,,Angiosperm
Rosa hugonis,,Angiosperm
Rosa kokanica,,Angiosperm
Rosa koreana,,Angiosperm
Rosa koreana var. glandulosa,,Angiosperm
Rosa koreana var. koreana,,Angiosperm
Rosa kunmingensis,,Angiosperm
Rosa kwangtungensis,,Angiosperm
Rosa kwangtungensis var. kwangtungensis,,Angiosperm
Rosa kwangtungensis var. mollis,,Angiosperm
Rosa kwangtungensis var. plena,,Angiosperm
Rosa kweichowensis,,Angiosperm
Rosa laevigata,,Angiosperm
Rosa langyashanica,,Angiosperm
Rosa lasiosepala,,Angiosperm
Rosa laxa,,Angiosperm
Rosa laxa var. laxa,,Angiosperm
Rosa laxa var. mollis,,Angiosperm
Rosa lichiangensis,,Angiosperm
Rosa longicuspis,,Angiosperm
Rosa longicuspis var. longicuspis,,Angiosperm
Rosa longicuspis var. sinowilsonii,,Angiosperm
Rosa luciae,,Angiosperm
Rosa luciae var. luciae,,Angiosperm
Rosa luciae var. rosea,,Angiosperm
Rosa lucidissima,,Angiosperm
Rosa ludingensis,,Angiosperm
Rosa macrophylla,,Angiosperm
Rosa macrophylla var. glandulifera,,Angiosperm
Rosa macrophylla var. macrophylla,,Angiosperm
Rosa mairei,,Angiosperm
Rosa maximowicziana,,Angiosperm
Rosa miyiensis,,Angiosperm
Rosa morrisonensis,,Angiosperm
Rosa moyesii,,Angiosperm
Rosa moyesii var. moyesii,,Angiosperm
Rosa moyesii var. pubescens,,Angiosperm
Rosa multibracteata,,Angiosperm
Rosa multiflora,,Angiosperm
Rosa multiflora var. cathayensis,,Angiosperm
Rosa multiflora var. multiflora,,Angiosperm
Rosa murielae,,Angiosperm
Rosa odorata,,Angiosperm
Rosa odorata var. erubescens,,Angiosperm
Rosa odorata var. gigantea,,Angiosperm
Rosa odorata var. odorata,,Angiosperm
Rosa odorata var. pseudoindica,,Angiosperm
Rosa omeiensis,,Angiosperm
Rosa oxyacantha,,Angiosperm
Rosa persetosa,,Angiosperm
Rosa pinnatisepala,,Angiosperm
Rosa platyacantha,,Angiosperm
Rosa praelucens,,Angiosperm
Rosa prattii,,Angiosperm
Rosa pricei,,Angiosperm
Rosa primula,,Angiosperm
Rosa pseudobanksiae,,Angiosperm
Rosa roxburghii,,Angiosperm
Rosa rubus,,Angiosperm
Rosa rugosa,,Angiosperm
Rosa sambucina var. pubescens,,Angiosperm
Rosa saturata,,Angiosperm
Rosa saturata var. glandulosa,,Angiosperm
Rosa saturata var. saturata,,Angiosperm
Rosa sect. Banksianae,,Angiosperm
Rosa sect. Bracteatae,,Angiosperm
Rosa sect. Chinenses,,Angiosperm
