Species name,Genus,Major group
Astragalus lehmannianus,Astragalus,Angiosperm
Astragalus lepsensis,Astragalus,Angiosperm
Astragalus leptocladus,Astragalus,Angiosperm
Astragalus lessertioides,Astragalus,Angiosperm
Astragalus leucocladus,Astragalus,Angiosperm
Astragalus levidensis,Astragalus,Angiosperm
Astragalus lhorongensis,Astragalus,Angiosperm
Astragalus licentianus,Astragalus,Angiosperm
Astragalus limprichtii,Astragalus,Angiosperm
Astragalus lithophilus,Astragalus,Angiosperm
Astragalus longilobus,Astragalus,Angiosperm
Astragalus longiracemosus,Astragalus,Angiosperm
Astragalus longiscapus,Astragalus,Angiosperm
Astragalus lucidus,Astragalus,Angiosperm
Astragalus luculentus,Astragalus,Angiosperm
Astragalus lustricola,Astragalus,Angiosperm
Astragalus luteiflorus,Astragalus,Angiosperm
Astragalus luteolus,Astragalus,Angiosperm
Astragalus lychnobius,Astragalus,Angiosperm
Astragalus macriculus,Astragalus,Angiosperm
Astragalus macrolobus,Astragalus,Angiosperm
Astragalus macropterus,Astragalus,Angiosperm
Astragalus macrostephanus,Astragalus,Angiosperm
Astragalus macrotropis,Astragalus,Angiosperm
Astragalus mahoschanicus,Astragalus,Angiosperm
Astragalus maiusculus,Astragalus,Angiosperm
Astragalus majevskianus,Astragalus,Angiosperm
Astragalus malcolmii,Astragalus,Angiosperm
Astragalus maowensis,Astragalus,Angiosperm
Astragalus masanderanus,Astragalus,Angiosperm
Astragalus matiensis,Astragalus,Angiosperm
Astragalus mattam,Astragalus,Angiosperm
Astragalus mattam var. macroflorus,Astragalus,Angiosperm
Astragalus mattam var. mattam,Astragalus,Angiosperm
Astragalus megalanthus,Astragalus,Angiosperm
Astragalus mekongensis,Astragalus,Angiosperm
Astragalus melanostachys,Astragalus,Angiosperm
Astragalus melilotoides,Astragalus,Angiosperm
Astragalus mieheorum,Astragalus,Angiosperm
Astragalus minhensis,Astragalus,Angiosperm
Astragalus miniatus,Astragalus,Angiosperm
Astragalus minshanensis,Astragalus,Angiosperm
Astragalus minutidentatus,Astragalus,Angiosperm
Astragalus miyalomontis,Astragalus,Angiosperm
Astragalus moellendorffii,Astragalus,Angiosperm
Astragalus monadelphus,Astragalus,Angiosperm
Astragalus monbeigii,Astragalus,Angiosperm
Astragalus mongholicus,Astragalus,Angiosperm
Astragalus monophyllus,Astragalus,Angiosperm
Astragalus montivagus,Astragalus,Angiosperm
Astragalus moupinensis,Astragalus,Angiosperm
Astragalus muliensis,Astragalus,Angiosperm
Astragalus multiceps,Astragalus,Angiosperm
Astragalus munroi,Astragalus,Angiosperm
Astragalus muschketowii,Astragalus,Angiosperm
Astragalus nanellus,Astragalus,Angiosperm
Astragalus nanfengensis,Astragalus,Angiosperm
Astragalus nangxianensis,Astragalus,Angiosperm
Astragalus nanjiangianus,Astragalus,Angiosperm
Astragalus nankotaizanensis,Astragalus,Angiosperm
Astragalus nanshanicus,Astragalus,Angiosperm
Astragalus nematodioides,Astragalus,Angiosperm
Astragalus neochorgosicus,Astragalus,Angiosperm
Astragalus neomonodelphus,Astragalus,Angiosperm
Astragalus nicolaii,Astragalus,Angiosperm
Astragalus nigrodentatus,Astragalus,Angiosperm
Astragalus ningxiaensis,Astragalus,Angiosperm
Astragalus nivalis,Astragalus,Angiosperm
Astragalus nokoensis,Astragalus,Angiosperm
Astragalus novissimus,Astragalus,Angiosperm
Astragalus obtusifoliolus,Astragalus,Angiosperm
Astragalus occultus,Astragalus,Angiosperm
Astragalus ochrias,Astragalus,Angiosperm
Astragalus ohbanus,Astragalus,Angiosperm
Astragalus olgae,Astragalus,Angiosperm
Astragalus ophiocarpus,Astragalus,Angiosperm
Astragalus oplites,Astragalus,Angiosperm
Astragalus orbicularifolius,Astragalus,Angiosperm
Astragalus orbiculatus,Astragalus,Angiosperm
Astragalus ordosicus,Astragalus,Angiosperm
Astragalus oreocharis,Astragalus,Angiosperm
Astragalus ornithorrhynchus,Astragalus,Angiosperm
Astragalus oxyglottis,Astragalus,Angiosperm
